split,class,source,augmented
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_868762.jpg,PBC_balanced_notebook/train/basophil/BA_868762_aug_00018.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_198153.jpg,PBC_balanced_notebook/train/basophil/BA_198153_aug_00019.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_82322.jpg,PBC_balanced_notebook/train/basophil/BA_82322_aug_00020.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_584910.jpg,PBC_balanced_notebook/train/basophil/BA_584910_aug_00021.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_677090.jpg,PBC_balanced_notebook/train/basophil/BA_677090_aug_00022.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_270382.jpg,PBC_balanced_notebook/train/basophil/BA_270382_aug_00023.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_992459.jpg,PBC_balanced_notebook/train/basophil/BA_992459_aug_00024.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_98152.jpg,PBC_balanced_notebook/train/basophil/BA_98152_aug_00025.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_420931.jpg,PBC_balanced_notebook/train/basophil/BA_420931_aug_00026.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_949235.jpg,PBC_balanced_notebook/train/basophil/BA_949235_aug_00027.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_343929.jpg,PBC_balanced_notebook/train/basophil/BA_343929_aug_00028.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_406945.jpg,PBC_balanced_notebook/train/basophil/BA_406945_aug_00029.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_49100.jpg,PBC_balanced_notebook/train/basophil/BA_49100_aug_00030.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_66312.jpg,PBC_balanced_notebook/train/basophil/BA_66312_aug_00031.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_2862.jpg,PBC_balanced_notebook/train/basophil/BA_2862_aug_00032.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_6162.jpg,PBC_balanced_notebook/train/basophil/BA_6162_aug_00033.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_500713.jpg,PBC_balanced_notebook/train/basophil/BA_500713_aug_00034.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_48862.jpg,PBC_balanced_notebook/train/basophil/BA_48862_aug_00035.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_4118.jpg,PBC_balanced_notebook/train/basophil/BA_4118_aug_00036.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_634320.jpg,PBC_balanced_notebook/train/basophil/BA_634320_aug_00037.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_509224.jpg,PBC_balanced_notebook/train/basophil/BA_509224_aug_00038.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_918397.jpg,PBC_balanced_notebook/train/basophil/BA_918397_aug_00039.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_994179.jpg,PBC_balanced_notebook/train/basophil/BA_994179_aug_00040.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_754100.jpg,PBC_balanced_notebook/train/basophil/BA_754100_aug_00041.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_688859.jpg,PBC_balanced_notebook/train/basophil/BA_688859_aug_00042.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_533987.jpg,PBC_balanced_notebook/train/basophil/BA_533987_aug_00043.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_540646.jpg,PBC_balanced_notebook/train/basophil/BA_540646_aug_00044.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_913408.jpg,PBC_balanced_notebook/train/basophil/BA_913408_aug_00045.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_413473.jpg,PBC_balanced_notebook/train/basophil/BA_413473_aug_00046.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_815713.jpg,PBC_balanced_notebook/train/basophil/BA_815713_aug_00047.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_354561.jpg,PBC_balanced_notebook/train/basophil/BA_354561_aug_00048.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_255467.jpg,PBC_balanced_notebook/train/basophil/BA_255467_aug_00049.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_414313.jpg,PBC_balanced_notebook/train/basophil/BA_414313_aug_00050.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_834949.jpg,PBC_balanced_notebook/train/basophil/BA_834949_aug_00051.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_38638.jpg,PBC_balanced_notebook/train/basophil/BA_38638_aug_00052.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_490353.jpg,PBC_balanced_notebook/train/basophil/BA_490353_aug_00053.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_433851.jpg,PBC_balanced_notebook/train/basophil/BA_433851_aug_00054.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_569593.jpg,PBC_balanced_notebook/train/basophil/BA_569593_aug_00055.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_332707.jpg,PBC_balanced_notebook/train/basophil/BA_332707_aug_00056.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_939188.jpg,PBC_balanced_notebook/train/basophil/BA_939188_aug_00057.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_360043.jpg,PBC_balanced_notebook/train/basophil/BA_360043_aug_00058.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_204774.jpg,PBC_balanced_notebook/train/basophil/BA_204774_aug_00059.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_363018.jpg,PBC_balanced_notebook/train/basophil/BA_363018_aug_00060.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_991876.jpg,PBC_balanced_notebook/train/basophil/BA_991876_aug_00061.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_241392.jpg,PBC_balanced_notebook/train/basophil/BA_241392_aug_00062.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_470873.jpg,PBC_balanced_notebook/train/basophil/BA_470873_aug_00063.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_382161.jpg,PBC_balanced_notebook/train/basophil/BA_382161_aug_00064.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_324965.jpg,PBC_balanced_notebook/train/basophil/BA_324965_aug_00065.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_81688.jpg,PBC_balanced_notebook/train/basophil/BA_81688_aug_00066.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_658350.jpg,PBC_balanced_notebook/train/basophil/BA_658350_aug_00067.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_658251.jpg,PBC_balanced_notebook/train/basophil/BA_658251_aug_00068.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_262646.jpg,PBC_balanced_notebook/train/basophil/BA_262646_aug_00069.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_141630.jpg,PBC_balanced_notebook/train/basophil/BA_141630_aug_00070.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_24200302.jpg,PBC_balanced_notebook/train/basophil/BA_24200302_aug_00071.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_398846.jpg,PBC_balanced_notebook/train/basophil/BA_398846_aug_00072.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_461900.jpg,PBC_balanced_notebook/train/basophil/BA_461900_aug_00073.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_995394.jpg,PBC_balanced_notebook/train/basophil/BA_995394_aug_00074.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_796830.jpg,PBC_balanced_notebook/train/basophil/BA_796830_aug_00075.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_403405.jpg,PBC_balanced_notebook/train/basophil/BA_403405_aug_00076.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_180990.jpg,PBC_balanced_notebook/train/basophil/BA_180990_aug_00077.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_338791.jpg,PBC_balanced_notebook/train/basophil/BA_338791_aug_00078.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_558965.jpg,PBC_balanced_notebook/train/basophil/BA_558965_aug_00079.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_474348.jpg,PBC_balanced_notebook/train/basophil/BA_474348_aug_00080.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_127868.jpg,PBC_balanced_notebook/train/basophil/BA_127868_aug_00081.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_298210.jpg,PBC_balanced_notebook/train/basophil/BA_298210_aug_00082.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_909453.jpg,PBC_balanced_notebook/train/basophil/BA_909453_aug_00083.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_868537.jpg,PBC_balanced_notebook/train/basophil/BA_868537_aug_00084.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_679732.jpg,PBC_balanced_notebook/train/basophil/BA_679732_aug_00085.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_45632.jpg,PBC_balanced_notebook/train/basophil/BA_45632_aug_00086.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_10622.jpg,PBC_balanced_notebook/train/basophil/BA_10622_aug_00087.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_115323.jpg,PBC_balanced_notebook/train/basophil/BA_115323_aug_00088.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_767164.jpg,PBC_balanced_notebook/train/basophil/BA_767164_aug_00089.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_616487.jpg,PBC_balanced_notebook/train/basophil/BA_616487_aug_00090.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_493706.jpg,PBC_balanced_notebook/train/basophil/BA_493706_aug_00091.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_791032.jpg,PBC_balanced_notebook/train/basophil/BA_791032_aug_00092.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_891403.jpg,PBC_balanced_notebook/train/basophil/BA_891403_aug_00093.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_738477.jpg,PBC_balanced_notebook/train/basophil/BA_738477_aug_00094.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_114899.jpg,PBC_balanced_notebook/train/basophil/BA_114899_aug_00095.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_436500.jpg,PBC_balanced_notebook/train/basophil/BA_436500_aug_00096.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_594363.jpg,PBC_balanced_notebook/train/basophil/BA_594363_aug_00097.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_204791.jpg,PBC_balanced_notebook/train/basophil/BA_204791_aug_00098.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_418106.jpg,PBC_balanced_notebook/train/basophil/BA_418106_aug_00099.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_665657.jpg,PBC_balanced_notebook/train/basophil/BA_665657_aug_00100.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_351114.jpg,PBC_balanced_notebook/train/basophil/BA_351114_aug_00101.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_487129.jpg,PBC_balanced_notebook/train/basophil/BA_487129_aug_00102.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_583432.jpg,PBC_balanced_notebook/train/basophil/BA_583432_aug_00103.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_451206.jpg,PBC_balanced_notebook/train/basophil/BA_451206_aug_00104.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_20161.jpg,PBC_balanced_notebook/train/basophil/BA_20161_aug_00105.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_368595.jpg,PBC_balanced_notebook/train/basophil/BA_368595_aug_00106.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_965179.jpg,PBC_balanced_notebook/train/basophil/BA_965179_aug_00107.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_601585.jpg,PBC_balanced_notebook/train/basophil/BA_601585_aug_00108.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_900142.jpg,PBC_balanced_notebook/train/basophil/BA_900142_aug_00109.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_99625.jpg,PBC_balanced_notebook/train/basophil/BA_99625_aug_00110.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_397684.jpg,PBC_balanced_notebook/train/basophil/BA_397684_aug_00111.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_807787.jpg,PBC_balanced_notebook/train/basophil/BA_807787_aug_00112.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_535962.jpg,PBC_balanced_notebook/train/basophil/BA_535962_aug_00113.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_332496.jpg,PBC_balanced_notebook/train/basophil/BA_332496_aug_00114.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_19779.jpg,PBC_balanced_notebook/train/basophil/BA_19779_aug_00115.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_176200.jpg,PBC_balanced_notebook/train/basophil/BA_176200_aug_00116.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_463171.jpg,PBC_balanced_notebook/train/basophil/BA_463171_aug_00117.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_157951.jpg,PBC_balanced_notebook/train/basophil/BA_157951_aug_00118.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_642041.jpg,PBC_balanced_notebook/train/basophil/BA_642041_aug_00119.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_274684.jpg,PBC_balanced_notebook/train/basophil/BA_274684_aug_00120.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_885582.jpg,PBC_balanced_notebook/train/basophil/BA_885582_aug_00121.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_74901.jpg,PBC_balanced_notebook/train/basophil/BA_74901_aug_00122.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_459209.jpg,PBC_balanced_notebook/train/basophil/BA_459209_aug_00123.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_166905.jpg,PBC_balanced_notebook/train/basophil/BA_166905_aug_00124.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_434177.jpg,PBC_balanced_notebook/train/basophil/BA_434177_aug_00125.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_461909.jpg,PBC_balanced_notebook/train/basophil/BA_461909_aug_00126.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_396998.jpg,PBC_balanced_notebook/train/basophil/BA_396998_aug_00127.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_129641.jpg,PBC_balanced_notebook/train/basophil/BA_129641_aug_00128.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_161101.jpg,PBC_balanced_notebook/train/basophil/BA_161101_aug_00129.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_59405.jpg,PBC_balanced_notebook/train/basophil/BA_59405_aug_00130.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_982393.jpg,PBC_balanced_notebook/train/basophil/BA_982393_aug_00131.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_640409.jpg,PBC_balanced_notebook/train/basophil/BA_640409_aug_00132.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_381452.jpg,PBC_balanced_notebook/train/basophil/BA_381452_aug_00133.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_588625.jpg,PBC_balanced_notebook/train/basophil/BA_588625_aug_00134.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_640005.jpg,PBC_balanced_notebook/train/basophil/BA_640005_aug_00135.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_544558.jpg,PBC_balanced_notebook/train/basophil/BA_544558_aug_00136.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_949913.jpg,PBC_balanced_notebook/train/basophil/BA_949913_aug_00137.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_982740.jpg,PBC_balanced_notebook/train/basophil/BA_982740_aug_00138.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_731764.jpg,PBC_balanced_notebook/train/basophil/BA_731764_aug_00139.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_563270.jpg,PBC_balanced_notebook/train/basophil/BA_563270_aug_00140.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_532468.jpg,PBC_balanced_notebook/train/basophil/BA_532468_aug_00141.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_785583.jpg,PBC_balanced_notebook/train/basophil/BA_785583_aug_00142.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_30267.jpg,PBC_balanced_notebook/train/basophil/BA_30267_aug_00143.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_315376.jpg,PBC_balanced_notebook/train/basophil/BA_315376_aug_00144.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_218471.jpg,PBC_balanced_notebook/train/basophil/BA_218471_aug_00145.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_168566.jpg,PBC_balanced_notebook/train/basophil/BA_168566_aug_00146.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_825338.jpg,PBC_balanced_notebook/train/basophil/BA_825338_aug_00147.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_107595.jpg,PBC_balanced_notebook/train/basophil/BA_107595_aug_00148.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_147402.jpg,PBC_balanced_notebook/train/basophil/BA_147402_aug_00149.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_485601.jpg,PBC_balanced_notebook/train/basophil/BA_485601_aug_00150.jpg
